Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
PIERRE,Mara Hermione,Action Montréal - Équipe Gilbert Thibodeau,,,,"3,20"
BADRA,Clément,Projet Montréal - Équipe Luc Rabouin,,,,"3,30"
BUGEL,Jérôme,Transition Montréal - Équipe Craig Sauvé,,,,"3,30"
D'ALESIO,Julian,Futur Montréal,,,,"3,30"
MOROZ,Sonny,Ensemble Montréal - Équipe Soraya,,,,"3,30"
D'ALESIO,Anthony JR.,Futur Montréal,,,,"3,40"
FILION,Jean-François,Transition Montréal - Équipe Craig Sauvé,,,,"3,40"
MCQUEEN,Peter,Projet Montréal - Équipe Luc Rabouin,,,,"3,40"
SHATILLA,Peter,Ensemble Montréal - Équipe Soraya,,,,"3,40"
BETTS,Renate,Transition Montréal - Équipe Craig Sauvé,,,,"3,50"
CHERNIENKO,Svetlana,Futur Montréal,,,,"3,50"
MONTAGANO,Alex Trainman,Indépendant,,,,"3,50"
MUKHERJEE,Neal Roy,Action Montréal - Équipe Gilbert Thibodeau,,,,"3,50"
SOURIAS,Despina,Projet Montréal - Équipe Luc Rabouin,,,,"3,50"
TEODORESCO,Alexandre,Ensemble Montréal - Équipe Soraya,,,,"3,50"
PROVOST,Julie-Pascale,Ensemble Montréal - Équipe Soraya,,,,"4,00"
TREMBLAY,Gary,Action Montréal - Équipe Gilbert Thibodeau,,,,"4,00"
VODANOVIC,Maja,Projet Montréal - Équipe Luc Rabouin,,,,"4,00"
GRONDIN,Myriam,Projet Montréal - Équipe Luc Rabouin,,,,"4,01"
ROULEAU,Christian,Transition Montréal - Équipe Craig Sauvé,,,,"4,01"
ROUSSEL,Dominic,Ensemble Montréal - Équipe Soraya,,,,"4,01"
BERTHELOT,Nancy,Ensemble Montréal - Équipe Soraya,,,,"4,10"
KAUSEL,Justin,Futur Montréal,,,,"4,10"
LAVIGNE,André,Indépendant,,,,"4,10"
POLITO,Chad,Projet Montréal - Équipe Luc Rabouin,,,,"4,10"
WADSWORTH,Mike,Transition Montréal - Équipe Craig Sauvé,,,,"4,10"
CARDONA-FORTIN,Alexandrah,Transition Montréal - Équipe Craig Sauvé,,,,"4,20"
CHARLES,Sidney,Action Montréal - Équipe Gilbert Thibodeau,,,,"4,20"
FERMELY,Ludovic,Ensemble Montréal - Équipe Soraya,,,,"4,20"
HERNANDEZ ROMERO,Pilar,Projet Montréal - Équipe Luc Rabouin,,,,"4,20"
OPOKU-WARE,Michael Nana,Futur Montréal,,,,"4,20"
FILION,Jacques,Projet Montréal - Équipe Luc Rabouin,,,,"4,30"
LEDUC,Geneviève,Ensemble Montréal - Équipe Soraya,,,,"4,30"
LIAMINI,Mokhtar,Transition Montréal - Équipe Craig Sauvé,,,,"4,30"
SAMPSON,Chantal,Futur Montréal,,,,"4,30"
BLANCHET,Nancy,Équipe LaSalle Team,,,,"5,00"
FOZIN,Jean-Louis,Projet Montréal - Équipe Luc Rabouin,,,,"5,00"
MACDONALD,Matthew,Transition Montréal - Équipe Craig Sauvé,,,,"5,00"
MORENO,Francisco,Action Montréal - Équipe Gilbert Thibodeau,,,,"5,00"
AZZOUNI,Yosef,Transition Montréal - Équipe Craig Sauvé,,,,"5,10"
BEAUDELET,Arnaud,Projet Montréal - Équipe Luc Rabouin,,,,"5,10"
DESCHAMPS,Richard,Équipe LaSalle Team,,,,"5,10"
JIMENEZ,Patricia,Action Montréal - Équipe Gilbert Thibodeau,,,,"5,10"
KRAVCHUK,Ihor,Action Montréal - Équipe Gilbert Thibodeau,,,,"5,11"
LEMAY,Renée,Projet Montréal - Équipe Luc Rabouin,,,,"5,11"
ROMANO,Daniela,Équipe LaSalle Team,,,,"5,11"
RUIZ,Anaïs,Transition Montréal - Équipe Craig Sauvé,,,,"5,11"
AUGER,Benoit,Équipe LaSalle Team,,,,"5,12"
MORENO-MOLINA,Francisco,Action Montréal - Équipe Gilbert Thibodeau,,,,"5,12"
NAIMI,Soheir,Projet Montréal - Équipe Luc Rabouin,,,,"5,12"
SKLAR,Allison,Transition Montréal - Équipe Craig Sauvé,,,,"5,12"
